文件名,歌名,语种,总歌手,歌手1,歌手2,歌手3,歌手4,性别1,性别2,性别3,性别4,原唱,伴奏,版本
G201211167,MADNESS,英语,MUSE,MUSE,,,,男,,,,1,2,1
G201211219,花又开好了,国语,SHE,SHE,,,,合,,,,1,2,1
G201211236,成王败寇,粤语,陈小春,陈小春,,,,男,,,,1,2,1
CHI006414,缠绵游戏,粤语,梁汉文,梁汉文,,,,男,,,,2,1,
CHI006416,七友,粤语,梁汉文,梁汉文,,,,男,,,,2,1,
CHI006418,男人不该让女人流泪,国语,苏永康,苏永康,,,,男,,,,2,1,
CHI006419,越吻越伤心,粤语,苏永康,苏永康,,,,男,,,,2,1,
CHI006422,身体健康,国语,张卫健,张卫健,,,,男,,,,2,1,
CHI006423,唯独你是不可取替,国语,许志安,许志安,,,,男,,,,2,1,
C2012110155,BAD DAY,英语,DANIEL POWTER,DANIEL POWTER,,,,男,,,,2,1,1
C2012110174,爱情闯进门,国语,BY2,BY2,,,,合,,,,2,1,4
C2012110019,完,粤语,陈奕迅,陈奕迅,,,,男,,,,2,1,1
G201211110,孤独的人啊,韩语,CNBLUE,CNBLUE,,,,合,,,,1,2,1
G201211121,HELLO HELLO,韩语,张根硕,张根硕,,,,男,,,,1,2,1
G201211125,爱情雨,韩语,张根硕,张根硕,,,,男,,,,1,2,4
C2012110015,有形的翅膀,国语,张韶涵,张韶涵,,,,女,,,,2,1,1
K201301030,烟火,国语,陈绮贞,陈绮贞,,,,女,,,,1,2,2
C2012120029,YOUNG GIRLS,英语,BRUNO MARS,BRUNO MARS,,,,男,,,,2,1,1
M2012110243,幼稚完,粤语,林峰,林峰,,,,男,,,,1,2,1
Q2012110001,TRY,英语,PINK,PINK,,,,女,,,,1,2,1
C2012110012,如何,国语,张悬,张悬,,,,女,,,,2,1,1
C2012110013,可能你还爱我,国语,炎亚纶,炎亚纶,,,,男,,,,2,1,1
G201211135,WONDERWALL,英语,OASIS,OASIS,,,,合,,,,1,2,1
G201211159,如果爱忘了,国语,戚薇,戚薇,,,,女,,,,1,2,1
H2012100936,天地在我心（吉克隽逸^刘欢）,国语,吉克隽逸^刘欢,中国好声音,刘欢,,,女,女,,,1,2,2
H2012100943,愿得一人心,国语,李行亮,李行亮,,,,男,,,,1,2,1
H2012100945,知足,国语,梁静茹^丁当,梁静茹,丁当,,,女,女,,,1,2,2
M2012100789,女皇,国语,韩庚,韩庚,,,,男,,,,1,2,3
C2012100791,LIVE WHILE WE'RE YOUNG,英语,ONE DIRECTION,ONE DIRECTION,,,,合,,,,2,1,1
